basket_id,strategy,mode_at_exit,actual_exit_time,first_cross_time,lag_minutes,cross_found,variant
1459,T5/S10,21-23|<=30m,2022-02-28 22:31:00,2022-02-28 22:28:00,3.0,True,tp_q25
1460,T5/S10,21-23|<=30m,2022-02-28 23:00:00,2022-02-28 22:51:00,9.0,True,tp_q25
1461,T5/S10,05-08|360-1440m,2022-03-03 08:47:00,2022-03-03 01:06:00,461.0,True,tp_q25
1462,T5/S10,01-04|120-360m,2022-03-24 01:11:00,2022-03-23 22:37:00,154.0,True,tp_q25
1463,T5/S10,09-12|360-1440m,2022-03-24 10:15:00,2022-03-24 10:09:00,6.0,True,tp_q25
1464,T5/S10,17-20|360-1440m,2022-05-26 17:17:00,2022-05-25 22:37:00,1120.0,True,tp_q25
1465,T5/S10,01-04|120-360m,2022-05-27 02:56:00,,,False,tp_q25
1466,T5/S10,01-04|30-120m,2022-05-27 04:51:00,2022-05-27 04:51:00,0.0,True,tp_q25
1467,T5/S10,21-23|<=30m,2022-07-21 22:59:00,2022-07-21 22:42:00,17.0,True,tp_q25
1468,T5/S10,01-04|120-360m,2022-10-06 02:18:00,2022-10-05 23:01:00,197.0,True,tp_q25
1469,T5/S10,09-12|>1440m,2022-11-07 11:03:00,2022-11-04 22:31:00,3632.0,True,tp_q25
1470,T5/S10,01-04|>1440m,2023-01-16 03:20:00,2023-01-13 22:44:00,3156.0,True,tp_q25
1471,T5/S10,01-04|120-360m,2023-01-20 03:25:00,2023-01-19 22:52:00,273.0,True,tp_q25
1472,T5/S10,21-23|<=30m,2023-01-25 22:57:00,2023-01-25 22:33:00,24.0,True,tp_q25
1473,T5/S10,01-04|120-360m,2023-03-03 02:01:00,2023-03-03 01:30:00,31.0,True,tp_q25
1474,T5/S10,05-08|>1440m,2023-03-06 05:13:00,2023-03-03 22:27:00,3286.0,True,tp_q25
1475,T5/S10,01-04|120-360m,2023-04-13 02:51:00,2023-04-13 02:05:00,46.0,True,tp_q25
1476,T5/S10,05-08|>1440m,2023-04-17 05:03:00,2023-04-17 04:43:00,20.0,True,tp_q25
1477,T5/S10,21-23|30-120m,2023-05-10 23:01:00,,,False,tp_q25
1478,T5/S10,05-08|360-1440m,2023-06-06 05:13:00,2023-06-06 01:58:00,195.0,True,tp_q25
1479,T5/S10,01-04|360-1440m,2023-08-22 04:31:00,2023-08-22 02:00:00,151.0,True,tp_q25
1480,T5/S10,21-23|<=30m,2023-10-09 22:16:00,2023-10-09 22:12:00,4.0,True,tp_q25
1481,T5/S10,21-23|<=30m,2023-10-09 22:32:00,2023-10-09 22:31:00,1.0,True,tp_q25
1482,T5/S10,01-04|120-360m,2023-10-20 02:32:00,2023-10-20 01:34:00,58.0,True,tp_q25
1483,T5/S10,21-23|<=30m,2023-10-27 22:06:00,2023-10-27 22:02:00,4.0,True,tp_q25
1484,T5/S10,13-16|>1440m,2023-10-30 16:21:00,2023-10-27 22:33:00,3948.0,True,tp_q25
1485,T5/S10,21-23|30-120m,2023-12-08 23:51:00,2023-12-08 23:21:00,30.0,True,tp_q25
1486,T5/S10,21-23|<=30m,2023-12-13 22:06:00,2023-12-13 22:04:00,2.0,True,tp_q25
1487,T5/S10,21-23|<=30m,2023-12-13 22:21:00,2023-12-13 22:20:00,1.0,True,tp_q25
1488,T5/S10,21-23|<=30m,2023-12-13 22:36:00,2023-12-13 22:31:00,5.0,True,tp_q25
1489,T5/S10,21-23|<=30m,2023-12-13 22:54:00,,,False,tp_q25
1490,T5/S10,21-23|<=30m,2023-12-26 22:36:00,2023-12-26 22:34:00,2.0,True,tp_q25
1491,T5/S10,21-23|<=30m,2023-12-26 22:59:00,2023-12-26 22:46:00,13.0,True,tp_q25
1384,T5/S10,21-23|30-120m,2018-01-02 22:55:00,2018-01-02 22:31:00,24.0,True,oracle_final_mode_tp_q25
1385,T5/S10,01-04|120-360m,2018-01-24 01:36:00,2018-01-24 01:01:00,35.0,True,oracle_final_mode_tp_q25
1386,T5/S10,01-04|120-360m,2018-02-15 01:55:00,2018-02-15 01:42:00,13.0,True,oracle_final_mode_tp_q25
1387,T5/S10,01-04|>1440m,2018-03-05 02:46:00,2018-03-05 01:01:00,105.0,True,oracle_final_mode_tp_q25
1388,T5/S10,01-04|120-360m,2018-04-10 03:09:00,2018-04-10 03:09:00,0.0,True,oracle_final_mode_tp_q25
1389,T5/S10,13-16|360-1440m,2018-04-10 14:33:00,2018-04-10 14:32:00,1.0,True,oracle_final_mode_tp_q25
1390,T5/S10,01-04|>1440m,2018-04-30 03:42:00,2018-04-30 03:41:00,1.0,True,oracle_final_mode_tp_q25
1391,T5/S10,17-20|360-1440m,2018-04-30 20:18:00,2018-04-30 20:16:00,2.0,True,oracle_final_mode_tp_q25
1392,T5/S10,01-04|120-360m,2018-05-09 02:26:00,,,False,oracle_final_mode_tp_q25
1393,T5/S10,13-16|360-1440m,2018-05-09 15:21:00,2018-05-09 14:38:00,43.0,True,oracle_final_mode_tp_q25
1394,T5/S10,21-23|30-120m,2018-10-10 22:58:00,2018-10-10 22:51:00,7.0,True,oracle_final_mode_tp_q25
1395,T5/S10,09-12|>1440m,2018-11-01 09:26:00,,,False,oracle_final_mode_tp_q25
1396,T5/S10,01-04|>1440m,2018-12-10 01:03:00,2018-12-10 01:02:00,1.0,True,oracle_final_mode_tp_q25
1397,T5/S10,09-12|>1440m,2018-12-11 11:11:00,2018-12-11 10:46:00,25.0,True,oracle_final_mode_tp_q25
1398,T5/S10,17-20|360-1440m,2019-01-23 18:23:00,2019-01-23 18:23:00,0.0,True,oracle_final_mode_tp_q25
1399,T5/S10,01-04|>1440m,2019-02-18 03:08:00,2019-02-18 02:31:00,37.0,True,oracle_final_mode_tp_q25
1400,T5/S10,01-04|120-360m,2019-03-06 02:05:00,2019-03-06 01:01:00,64.0,True,oracle_final_mode_tp_q25
1401,T5/S10,01-04|360-1440m,2019-03-12 04:47:00,2019-03-12 04:29:00,18.0,True,oracle_final_mode_tp_q25
1402,T5/S10,01-04|120-360m,2019-03-21 03:28:00,2019-03-21 01:12:00,136.0,True,oracle_final_mode_tp_q25
1403,T5/S10,21-23|<=30m,2019-04-04 22:29:00,2019-04-04 22:28:00,1.0,True,oracle_final_mode_tp_q25
1404,T5/S10,13-16|360-1440m,2019-04-05 16:04:00,2019-04-05 16:00:00,4.0,True,oracle_final_mode_tp_q25
1405,T5/S10,01-04|>1440m,2019-04-22 01:25:00,2019-04-22 01:05:00,20.0,True,oracle_final_mode_tp_q25
1406,T5/S10,13-16|>1440m,2019-05-23 13:17:00,,,False,oracle_final_mode_tp_q25
1407,T5/S10,21-23|30-120m,2019-05-31 22:40:00,,,False,oracle_final_mode_tp_q25
1408,T5/S10,01-04|360-1440m,2019-06-04 04:28:00,,,False,oracle_final_mode_tp_q25
1409,T5/S10,09-12|120-360m,2019-06-04 10:03:00,,,False,oracle_final_mode_tp_q25
1410,T5/S10,21-23|<=30m,2019-06-04 22:40:00,2019-06-04 22:33:00,7.0,True,oracle_final_mode_tp_q25
1411,T5/S10,21-23|30-120m,2019-06-19 22:39:00,2019-06-19 22:38:00,1.0,True,oracle_final_mode_tp_q25
